pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
-5.5,4.3,90.0,top,C1,,C_0805_2012Metric,22nF,smt,True
12.5,4.3,90.0,top,C2,,C_0805_2012Metric,22nF,smt,True
-9.0,3.5,180.0,top,C3,,C_0805_2012Metric,100nF,smt,True
9.0,3.5,180.0,top,C4,,C_0805_2012Metric,100nF,smt,True
13.5,11.0,90.0,top,C5,,C_1206_3216Metric,100nF,smt,True
-4.5,11.0,90.0,top,C6,,C_1206_3216Metric,100nF,smt,True
-1.0,-4.6,0.0,top,C7,,C_0805_2012Metric,1uF,smt,True
-24.6,10.8,180.0,top,D1,,LED_0805_2012Metric,LED (Red),smt,True
-24.6,4.8,180.0,top,D2,,LED_0805_2012Metric,LED (Red),smt,True
21.4,4.6,90.0,top,D3,,LED_0805_2012Metric,LED (Blue),smt,True
23.4,4.6,90.0,top,D4,,LED_0805_2012Metric,LED (Green),smt,True
26.6,4.6,90.0,top,D5,,LED_0805_2012Metric,LED (Blue),smt,True
28.6,4.6,90.0,top,D6,,LED_0805_2012Metric,LED (Green),smt,True
26.0,13.0,90.0,top,D7,,LED_0805_2012Metric,LED (Yellow),smt,True
-26.0,-2.6,-90.0,top,D8,,LED_0805_2012Metric,LED (Yellow),smt,True
19.2,-3.0,180.0,top,D9,,LED_0805_2012Metric,LED (Red),smt,True
-25.0,-10.0,0.0,top,J1,,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,I2C,smt,True
25.0,-10.0,0.0,top,J2,,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,I2C,smt,True
-25.0,20.0,180.0,top,J3,,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,Stations,smt,True
-9.0,20.0,180.0,top,J4,,JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal,Motor A,smt,True
9.0,20.0,180.0,top,J5,,JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal,Motor B,smt,True
